id,version_group,patch_hotfix,patch_name,patch_wiki_reference,Binaries/Win32/Paladins.exe,Binaries/Win64/Paladins.exe,ChaosGame/CookedPCConsole/GlobalPersistentCookerData.upk,ChaosGame/CookedPCConsole/GuidCache.upk,ChaosGame/CookedPCConsole/TgClient.upk,ChaosGame/CookedPCConsole/assembly.dat
6793292743874228834,0.60,False,All Hallows Evie,Paladins_Beta_Version_0.60.2150,ba4bb8a722beed533751ddcc0eba56dadaf84ebe,f74ea3821b890dff0a4a4900f83f2ab8649a8892,99d92c16218738ce5b0d2e35eb577094194aa4ae,b9239a98b3505704b94dbb3d35eac1b1eddd349f,59e4450d80951c0f9382d8326a5b76bec7ea1ed4,1ac810da32603581a6216b5b809afdb9b16e426a
457072439206928207,0.60,True,0.60 Hotfix 1,Paladins_Beta_Version_0.60.2150.3,21e2ed02cc1c9f58f5cc59ffe8469b6753fc7d4a,9f14826b227bac6a7e9e328047cd16861b768a8e,99d92c16218738ce5b0d2e35eb577094194aa4ae,b9239a98b3505704b94dbb3d35eac1b1eddd349f,59e4450d80951c0f9382d8326a5b76bec7ea1ed4,1ac810da32603581a6216b5b809afdb9b16e426a
5893545962488482955,0.61,False,Relentless,Paladins_Beta_Version_0.61.2189,48ffc5ef1046e4efeb18c07d18f202b4b0163071,f38f7b220754f25600b5720169c1819a4e43d953,163d99d60fd44cc39d19b6ebeb1509da5bcb6486,e4e3df79b2630e0b2e93ef0058352f3f035106ca,c66330481965d6db752e3f6939e7a57aa8685961,f36b5f1daae5a27b410a26a590521087b439906f
2914832686883537676,0.61,True,0.61 Hotfix 1,Paladins_Beta_Version_0.61.2189.6,0fe96da75c6f74e748ab48d95fb4a6611b60d625,12dbece17e44c18daec48d2fca12021a8c51e2d0,163d99d60fd44cc39d19b6ebeb1509da5bcb6486,e4e3df79b2630e0b2e93ef0058352f3f035106ca,c66330481965d6db752e3f6939e7a57aa8685961,0c8c273766b51a615721e2c9d7d5d61de4138bca
8474659418272156181,0.61,True,0.61 Hotfix 2,Paladins_Beta_Version_0.61.2191,4652ac97e066296c874839413afd68801ab1e964,a86b4d4958602d5dafd3caa1651d7c75577140f5,74e711d7e0580e60b370558b34fecc77cdbb2570,a267aca82850770d484fa85013ff34fa62ada024,6c4861df750b97b4bd4945e5fd9aee7dde4cbc10,e0b7d9e8eaa863b9b49811743b93d4ced7e5002c
8175966045112544703,0.61,True,0.61 Hotfix 3,Paladins_Beta_Version_0.61.2192,59fc4c0cff101dc99cfd26f4372f81d097250924,a2c06443d3032c98b380a1025f7d82afac42e953,2ca4788d819a09d10108a56c09bf0b3b040a6001,4a3158b58dfa059316881052073f00796077cedc,aef0cdf29bc50fd91f207d75d86e8ac628fd70e0,1ede453d944a9f6e54903029e7bca58bc81ef49f
2975963013763356427,0.61,True,0.61 Hotfix 4,Paladins_Beta_Version_0.61.2192.8,22a76b1c51297ba95a349056ddb28b934b57716b,a98eb760f0edaad7463b26657880b3fbe7fdfccc,2ca4788d819a09d10108a56c09bf0b3b040a6001,4a3158b58dfa059316881052073f00796077cedc,aef0cdf29bc50fd91f207d75d86e8ac628fd70e0,1ede453d944a9f6e54903029e7bca58bc81ef49f
5355250518572795371,0.62,False,Ride the Lightning,Paladins_Beta_Version_0.62.2219.2,876437639e26b1fae207e2ca04826ae6999b3f13,deb04026bca9d4e5e41f402d1f68695d5edd18db,2ca4788d819a09d10108a56c09bf0b3b040a6001,4a3158b58dfa059316881052073f00796077cedc,aef0cdf29bc50fd91f207d75d86e8ac628fd70e0,1ede453d944a9f6e54903029e7bca58bc81ef49f
4094490156939300353,0.62,False,Ride the Lightning,Paladins_Beta_Version_0.62.2219.2,92b0c4b8b080875a7eeba12d6cb8820bb88b52a5,6580ce738c94ad2571b9570f3d580efc91da57db,46e6fae17fb7d6fd0b846e66eee98ecdb16362d2,07022d8ec6a9b8068d4aabb7c64f2d38522b570c,fe967d04574b182b0a255e73d7b01d6f57b0afea,08cd8c55562843eda8d14c5b3c7f7365af59eae9
16483823906420572,0.63,False,Full Auto,Paladins_Beta_Version_0.63.2252.2,d7b0db5973e6661f903823616b24bb5ebe112844,9ec502cf7454b1f2323501cc5baf00c450696a9f,ade8177f3431bbbcf0853055e1529d123638c140,d8d024448e6923932795dddf9cfe8529a3a796ad,a6605c0655237ab61413bdf069de274f5af7e93c,3f259c265c9d3bf85885fafa95f1e4f24c0463bc
5450858319658667231,0.63,True,0.63 Hotfix 1,Paladins_Beta_Version_0.63.2252.4,2596118e5c3e93c5d0fd22cda4fa3ca768983fc2,0a151fba720a5b316b727dee2dc9874962817de3,ade8177f3431bbbcf0853055e1529d123638c140,d8d024448e6923932795dddf9cfe8529a3a796ad,a6605c0655237ab61413bdf069de274f5af7e93c,56bd1423d46c75088e920fdb5d349facb8877146
3361082808884628168,0.63,True,0.63 Hotfix 2,Paladins_Beta_Version_0.63.2254.2,ff82b0eab5131b9556d19fcd3c61e2f5b2beea9e,a935722a0f94b996bb10ce120838c942042b28b7,e124543560c2bc9dd88d6fde52414971d046138c,c8ce7da7320d03482e608544024bf09b5671911e,a88bf20ae898be776c58bfa9a5167e25ba8ab470,8456372dcf9c2b929164ba857be0fba0de1c16c8
8327236191296900271,0.64,False,Do You WannaBuild A Bomb King?,Paladins_Beta_Version_0.64.2312,6d334ae6f7e9e0a7240d035131fa3e16aeae77b2,99769e805ca320e103fb9180b07614829763d6d2,b7b0ebb5f9b10c09d67e10d7d538c15e1310b419,80a0d20a0f780275b12e07e679708711e607949f,7ea1c2fe52146edfd307178956e7092e0f5e4fa2,7ff30aabd75928f82a7389b3f26f12ba3b0898c2
5980970886571391357,0.64,True,0.64 Hotfix 1,Paladins_Beta_Version_0.64.2314,0d690d13bbcf105d09535513abd3cac202c09d04,3cf5f82aa9eab79168f05387b09b16cda2536ccf,148b27179fa998992e167cb898f156f3dc9339ee,23c461f9c68b4fc549a67234d0f4069e4f0de39f,5d6f6fe3ea885be039428c1cdd6721ada16d6945,877a156e431edbc856b0e5c3ffafbf2eeed6722b
2552448433256977711,0.64,True,0.64 Hotfix 2,Paladins_Beta_Version_0.64.2314.4,9150ff5d6730a0faef5425884ad0aa6db3ef12e0,61eb975840b2c4d45c65562abe8d940099ad4049,148b27179fa998992e167cb898f156f3dc9339ee,23c461f9c68b4fc549a67234d0f4069e4f0de39f,5d6f6fe3ea885be039428c1cdd6721ada16d6945,877a156e431edbc856b0e5c3ffafbf2eeed6722b
8766276069665132871,0.64,True,0.64 Hotfix 3,Paladins_Beta_Version_0.64.2314.7,ca1bc4bdc8c42f86c7c698361d25afb91a454d94,3be80d69fabf82dbab7cd0626d3868251ac1dc7e,148b27179fa998992e167cb898f156f3dc9339ee,23c461f9c68b4fc549a67234d0f4069e4f0de39f,5d6f6fe3ea885be039428c1cdd6721ada16d6945,948839992d3ac53a00df11a69d75646d044dda72
4900552212321117602,0.65,False,Paladins and Friends,Paladins_Beta_Version_0.65.2348.3,e04dabacb69dd2b8b94abae7c4f13d2500aab90f,4bb2426c82b2b023f75a65d1c96eb7ec5ebcd314,fac4850ec3c246554c52d6f974ec46b26839162b,b48e7463dbece021f2b651aa9f56befac8d983b7,109d282c5125a9ec9a4ae52ed009eae7cc1da3d8,a07ac85b9a2535d1b9585fe5b877281bf0c9a5bd
3631989439332592601,0.65,True,0.65 Hotfix 1,Paladins_Beta_Version_0.65.2349.3,1546f9697c9f9dd793fde11cd448c2a6ed157464,ea52df5fea1ee75c7c3ae7688409f029311643f0,78fafd1dca106327de33b78083eadf784492a5fd,f218c79266da409d6aa513e64e4ec3da128a6b9b,a5fccdb380dc041f8fe6cdc9c4021cd10e0ea885,95918241f4bbeb5286ae4a8d46b1132a20f48a46
4348610384214185230,0.65,True,0.65 Hotfix 2,Paladins_Beta_Version_0.65.2349.5,b8aba4eb8a2f65ffc6e67e7c477f15b299f27fd0,302ae4bd25b42267c3659249b5ea4e67469735dd,78fafd1dca106327de33b78083eadf784492a5fd,f218c79266da409d6aa513e64e4ec3da128a6b9b,a5fccdb380dc041f8fe6cdc9c4021cd10e0ea885,95918241f4bbeb5286ae4a8d46b1132a20f48a46
6341131636910196140,0.65,True,0.65 Hotfix 3,Paladins_Beta_Version_0.65.2353,eda413f5e3477c00ba999083c17dea1bb21450a6,f8223339a5f070a7f99b8b4ba3fe551b62cee5d6,41db82aaec9a82d5f29f5b8a1dc097ffe6aa18cb,0334afac5d1972e8cad5099f163991b1cc87b210,7b01e01e029940283768016a7e64428d0e087513,4079ca3d045160f5107d9093da01448df7b2ac92
2716608921825567288,0.65,True,0.65 Hotfix 4,Paladins_Beta_Version_0.65.2355.1,2c566060369653c5aeec33a49c8b25622c3cafbe,3ce0040c72e837abf31e0eb7c3badcc1a27d80ef,6bb9d89a7c4697a5c1fe9ad67df706017b6ef2ba,4a43c76b1cccd81371462c6fe94d6ed91ef693d5,7b01e01e029940283768016a7e64428d0e087513,3d1d24d037c1b625bb4b46aad4ef27b0a90849a2
7613264082208660964,0.65,True,0.65 Hotfix 5,Paladins_Beta_Version_0.65.2356.5,efbef2eb07514bba77b73b4a9894bd54a892babe,47fea67f2e4db5a46365c571efdf8267a5790ba2,dc182b8ac6177eb1e1ac842b6a32f898f9108a97,224365643d3476f9ce7da0f42be9fb14acc61ba5,75805e5e0c3a1b89d8d63bea6b675cb0091d5d4c,5fe2028a1661454d68631512d7e5c2280dafedd4
1040988836228170785,0.66,False,Battlegrounds,Paladins_Beta_Version_0.66.2496,95306729dda011a881b72a28a59ceae63766ba92,5e7009d57c4d2608810ced7cce90bc3cdc2b8d95,50b788711ea74c28500ba05e60dcfd49c78325ef,85f2184eeae024c6abc68eb970f3d709f1ec8ac8,ea6e67bab5ce6186e2afb2081785559ca61dafc8,46c53b390ba87583f2c60dce9b04f22352736514
2817442373436761730,0.66,True,0.66 Hotfix 1,Paladins_Beta_Version_0.66.2497,4bb5bec9fec66d3696b1cc1567e55469e9ff229a,29766a5ea69c11342a2e1467a43423a58f13550a,50b788711ea74c28500ba05e60dcfd49c78325ef,85f2184eeae024c6abc68eb970f3d709f1ec8ac8,ea6e67bab5ce6186e2afb2081785559ca61dafc8,46c53b390ba87583f2c60dce9b04f22352736514
9074974542920371211,0.66,True,0.66 Hotfix 2,Paladins_Beta_Version_0.66.2497.3,1fa9b5cc0fef11d830cac72b83b88876caae6e41,802d282ea0574a66f3ef59c0e8154d5e605b4d6d,ad2214a1db2bd02b99da5d9ced777236ddd106b3,f42519cfaf1af40d269af4da41af07bf1cb3b821,ea6e67bab5ce6186e2afb2081785559ca61dafc8,871e6dc9617f16a19fd0b0caf0b87580684ab6a5
3038545929817695359,0.66,True,0.66 Hotfix 2,Paladins_Beta_Version_0.66.2497.3,30af7dd38a09c7b66bab7074f599ca99cd77a6c7,333d0a01e6abe3a5baec49fa1b3e9de554a0854a,ad2214a1db2bd02b99da5d9ced777236ddd106b3,f42519cfaf1af40d269af4da41af07bf1cb3b821,ea6e67bab5ce6186e2afb2081785559ca61dafc8,ece05159d891f5b5794e1e99d6fdabc330cea0fd
8948410962750469780,0.66,True,0.66 Hotfix 3,Paladins_Beta_Version_0.66.2497.4,53a533a393d7644fe56e85c51fdc86943fba0007,81cd420b13f6ae56c5ca5934cdc8c39e0a7a19a4,ad2214a1db2bd02b99da5d9ced777236ddd106b3,f42519cfaf1af40d269af4da41af07bf1cb3b821,ea6e67bab5ce6186e2afb2081785559ca61dafc8,ece05159d891f5b5794e1e99d6fdabc330cea0fd
3441005912981907132,0.67,False,The Realm Restored,Paladins_Beta_Version_0.67.2519,1a35c09354b77a55f45af76ab2e9b39815132949,8c31c199b4fe18ff63813cf32884fbc7a2279b6b,1724f49b4fa3089bb9ea9bffc5f895e315e52e47,f09b6c4d8ba9efbfcd1a13c316e91d0f7df9d436,56fe37a12fd86ec59fcacff2ffef16e653e191ea,5dcbcbd1db8cc65131e6c387c84619eed4f5f530
3891269424924199493,0.67,True,0.67 Hotfix 1,Paladins_Beta_Version_0.67.2519.2,6c19bec950a628a43d9dcadac0156dfd5af5ccae,f4a8d2d342777302fbbe6124381460938d597f0a,f8aa18d5d56ece66d6816b293b6bf4dd8ee0297b,03ea410a11a0cf338ae2729b9bffc39dc481ffd9,3e08d01a419845ec2c210354842810bf5614c913,271effbc37e78a3da49b9483ca3ee92147796622
5617612072913620924,0.67,True,0.67 Hotfix 4,Paladins_Beta_Version_0.67.2523.6,9da01d4bf4f4f1c85408d989f30fd5d464c5525c,c861a7ce261c557fb5bb9dc06bfd915b5d1be105,f8aa18d5d56ece66d6816b293b6bf4dd8ee0297b,03ea410a11a0cf338ae2729b9bffc39dc481ffd9,3e08d01a419845ec2c210354842810bf5614c913,4a1a345cb7f6b1fc09994a728a93c3759eb2715e
3354586511728951002,0.68,False,Siege of Ascension Peak,Paladins_Beta_Version_0.68.2559,5bddf757a03fb0039c165843f6de00663e2acb65,317b6ef861be8086cbe8bb415c6e6a0523199781,8e3e7fb8c6ddb34ad72efef41c34ced8a5fcdf69,2249806e2b27c69faa788e21223e5b7f611e3635,1e30906460be51d297d8330fe31ba450e8458a7f,2ac063d390ddbe85242e92607d6dd14d88d79c97
